,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2016-09-27,14,5,1,14,7,4
2016-09-28,9,15,4,9,9,7
2016-09-29,9,12,0,14,6,8
2016-09-30,16,16,0,9,11,12
2016-10-01,39,36,10,20,39,33
2016-10-02,35,36,7,28,35,30
2016-10-03,11,6,7,5,10,14
2016-10-04,7,8,3,17,12,9
2016-10-05,14,1,2,13,9,9
2016-10-06,16,9,3,14,7,11
2016-10-07,21,10,0,9,8,9
2016-10-08,45,22,12,34,21,18
2016-10-09,42,16,8,25,27,27
2016-10-10,18,12,2,12,6,10
2016-10-11,8,2,2,3,8,10
2016-10-12,15,7,0,15,7,11
2016-10-13,14,2,0,14,6,9
2016-10-14,32,5,1,9,11,8
2016-10-15,53,13,2,38,27,39
2016-10-16,65,18,5,37,25,28
2016-10-17,9,3,1,4,6,13
2016-10-18,24,6,1,6,8,24
2016-10-19,32,5,1,15,10,11
2016-10-20,26,10,0,10,13,10
2016-10-21,36,10,8,23,19,10
2016-10-22,52,13,0,25,20,28
2016-10-23,68,18,3,30,31,21
2016-10-24,28,6,2,6,7,12
2016-10-25,11,6,1,9,11,10
2016-10-26,14,4,1,11,8,7
2016-10-27,24,2,3,7,10,11
2016-10-28,29,8,6,15,21,14
2016-10-29,43,7,3,16,28,14
2016-10-30,69,10,6,26,33,17
2016-10-31,67,13,4,24,35,44
2016-11-01,46,16,7,16,31,18
2016-11-02,19,4,3,8,16,13
2016-11-03,27,10,1,17,16,14
2016-11-04,21,3,3,3,5,9
2016-11-05,49,16,5,26,30,21
2016-11-06,71,16,8,23,31,22
2016-11-07,12,3,1,2,17,9
2016-11-08,15,5,2,5,7,5
2016-11-09,13,5,0,6,5,8
2016-11-10,29,1,3,8,2,2
2016-11-11,30,3,4,16,9,14
2016-11-12,59,10,3,19,13,17
2016-11-13,56,1,6,13,29,26
2016-11-14,25,1,1,2,4,9
2016-11-15,23,7,1,5,8,6
2016-11-16,31,6,0,13,15,10
2016-11-17,18,0,0,7,13,12
2016-11-18,24,1,1,9,8,10
2016-11-19,49,7,7,13,25,21
2016-11-20,41,5,3,15,23,20
2016-11-21,18,9,2,3,13,9
2016-11-22,14,1,1,4,4,8
2016-11-23,18,1,0,8,12,11
2016-11-24,21,1,1,6,9,9
2016-11-25,70,14,4,18,48,22
2016-11-26,86,9,8,26,40,29
2016-11-27,69,10,5,25,44,26
2016-11-28,14,4,2,3,5,8
2016-11-29,30,2,0,8,12,14
2016-11-30,31,3,2,6,10,6
2016-12-01,15,3,0,5,11,4
2016-12-02,30,6,1,6,10,14
2016-12-03,39,13,2,11,31,24
2016-12-04,54,7,0,16,20,11
2016-12-05,18,0,1,7,17,7
2016-12-06,20,1,1,6,4,4
2016-12-07,47,11,7,14,20,12
2016-12-08,61,9,4,14,37,22
2016-12-09,73,17,7,25,30,16
2016-12-10,27,13,5,5,20,8
2016-12-11,49,16,3,8,19,19
2016-12-12,42,9,4,10,14,6
2016-12-13,31,4,1,7,8,7
2016-12-14,38,6,1,9,14,12
2016-12-15,28,3,1,8,14,9
2016-12-16,37,13,2,9,19,8
2016-12-17,61,14,1,6,27,19
2016-12-18,65,9,2,14,21,19
2016-12-19,22,1,1,3,17,9
2016-12-20,39,4,0,7,16,6
2016-12-21,45,17,1,5,18,12
2016-12-22,27,3,3,3,15,6
2016-12-23,32,5,3,7,11,9
2016-12-24,21,1,0,1,15,6
2016-12-25,0,0,0,0,0,0
2016-12-26,0,0,0,0,0,0
2016-12-27,33,9,6,4,19,14
2016-12-28,32,10,3,8,26,10
2016-12-29,6,0,1,1,2,0
2016-12-30,5,1,0,0,1,2
2016-12-31,0,0,0,2,1,0
2017-01-01,0,0,0,0,0,0
2017-01-02,3,1,1,2,0,3
2017-01-03,0,2,0,0,2,0
2017-01-04,5,1,0,1,1,2
2017-01-05,3,0,1,0,1,0
2017-01-06,4,1,0,1,0,1
2017-01-07,13,0,0,0,1,0
2017-01-08,4,1,2,1,0,0
2017-01-09,2,0,1,0,1,1
2017-01-10,1,0,0,1,0,1
2017-01-11,5,0,0,0,1,0
