,MAGLIE,CAMICIE,GONNE,PANTALONI,VESTITI,GIACCHE
2013-10-22,30,7,0,25,16,3
2013-10-23,28,12,1,14,19,14
2013-10-24,32,10,2,14,11,10
2013-10-25,26,5,0,14,8,8
2013-10-26,31,16,0,20,18,8
2013-10-27,0,0,0,0,0,0
2013-10-28,29,4,2,24,7,7
2013-10-29,55,8,0,27,9,3
2013-10-30,61,10,2,13,8,8
2013-10-31,44,7,1,18,20,11
2013-11-01,0,0,0,0,0,0
2013-11-02,68,5,3,22,34,15
2013-11-03,0,0,0,0,0,0
2013-11-04,31,11,1,12,17,6
2013-11-05,37,15,2,27,16,11
2013-11-06,22,3,0,18,15,7
2013-11-07,40,9,1,19,17,8
2013-11-08,45,3,0,16,8,7
2013-11-09,43,7,4,16,17,8
2013-11-10,0,0,0,0,0,0
2013-11-11,32,2,2,12,16,13
2013-11-12,45,2,0,18,8,15
2013-11-13,45,2,1,23,11,10
2013-11-14,47,6,0,18,15,16
2013-11-15,59,8,0,21,22,18
2013-11-16,42,1,2,17,21,17
2013-11-17,0,0,0,0,0,0
2013-11-18,27,2,1,3,4,6
2013-11-19,30,2,0,12,12,11
2013-11-20,36,0,0,12,19,24
2013-11-21,24,2,0,10,4,8
2013-11-22,20,1,0,9,12,11
2013-11-23,35,3,2,10,14,17
2013-11-24,0,0,0,0,0,0
2013-11-25,45,2,3,9,18,8
2013-11-26,33,1,0,12,9,16
2013-11-27,29,0,4,7,8,8
2013-11-28,27,1,1,11,12,8
2013-11-29,41,1,2,11,24,11
2013-11-30,43,3,0,18,14,15
2013-12-01,17,1,0,2,6,4
2013-12-02,34,1,1,9,17,9
2013-12-03,28,1,1,10,22,10
2013-12-04,33,0,1,11,21,13
2013-12-05,37,2,4,6,18,11
2013-12-06,32,2,1,8,17,12
2013-12-07,70,2,2,8,24,10
2013-12-08,10,0,0,4,8,5
2013-12-09,31,0,0,5,23,5
2013-12-10,37,1,2,12,23,11
2013-12-11,37,0,0,5,11,10
2013-12-12,34,2,1,4,20,12
2013-12-13,44,1,0,11,23,7
2013-12-14,55,3,0,16,20,8
2013-12-15,14,0,0,2,8,7
2013-12-16,21,0,1,11,19,11
2013-12-17,32,0,1,10,21,13
2013-12-18,40,2,0,14,35,2
2013-12-19,48,2,1,17,25,6
2013-12-20,80,1,0,20,35,7
2013-12-21,66,3,0,16,35,9
2013-12-22,34,1,0,6,25,3
2013-12-23,78,0,2,15,34,13
2013-12-24,65,2,0,15,29,13
2013-12-25,0,0,0,0,0,0
2013-12-26,0,0,0,0,0,0
2013-12-27,34,2,1,12,21,11
2013-12-28,43,0,0,14,21,12
2013-12-29,0,0,0,0,0,0
2013-12-30,31,7,0,9,25,3
2013-12-31,31,0,0,10,14,8
2014-01-01,0,0,0,0,0,0
2014-01-02,0,0,0,0,0,0
2014-01-03,0,0,0,0,0,0
2014-01-04,0,0,0,0,0,0
2014-01-05,0,0,0,0,0,0
2014-01-06,0,0,0,0,0,0
2014-01-07,0,0,0,0,0,0
2014-01-08,0,0,0,0,0,0
2014-01-09,0,0,0,0,0,0
2014-01-10,0,0,0,0,0,0
2014-01-11,0,0,0,0,0,0
2014-01-12,0,0,0,0,0,0
2014-01-13,0,0,0,0,0,0
2014-01-14,0,0,0,0,0,0
2014-01-15,0,0,0,0,0,0
2014-01-16,0,0,0,0,0,0
2014-01-17,0,0,0,0,0,0
2014-01-18,0,0,0,0,0,0
2014-01-19,0,0,0,0,0,0
2014-01-20,0,0,0,0,0,0
2014-01-21,0,0,0,0,0,0
2014-01-22,3,0,0,6,0,0
2014-01-23,3,0,0,3,0,1
2014-01-24,1,3,0,7,0,2
2014-01-25,6,4,1,5,1,1
2014-01-26,0,0,0,0,0,0
2014-01-27,1,0,0,3,3,2
2014-01-28,4,3,0,6,3,4
2014-01-29,1,1,0,2,4,0
2014-01-30,4,2,0,3,4,1
2014-01-31,7,5,0,5,2,2
2014-02-01,11,7,0,6,4,6
2014-02-02,0,0,0,0,0,0
2014-02-03,5,3,1,3,2,4
2014-02-04,6,2,0,2,0,2
2014-02-05,10,1,0,1,2,1
2014-02-06,17,4,1,8,5,6
2014-02-07,14,3,0,5,3,5
2014-02-08,11,2,0,6,6,6
2014-02-09,0,0,0,0,0,0
2014-02-10,2,4,0,4,1,2
2014-02-11,10,4,0,10,5,3
2014-02-12,11,6,1,4,5,5
2014-02-13,19,2,0,7,6,3
2014-02-14,14,7,0,7,6,4
2014-02-15,17,9,0,11,5,11
2014-02-16,0,0,0,0,0,0
2014-02-17,10,3,0,2,4,3
2014-02-18,19,9,0,9,8,5
2014-02-19,6,4,0,3,2,3
2014-02-20,16,4,0,10,2,2
2014-02-21,19,9,1,5,3,4
2014-02-22,20,6,0,5,5,5
2014-02-23,0,0,0,0,0,0
2014-02-24,22,12,0,9,1,9
2014-02-25,13,3,0,7,0,3
2014-02-26,15,4,0,9,8,6
2014-02-27,21,5,0,6,10,7
2014-02-28,20,8,1,6,9,6
2014-03-01,12,9,1,8,5,2
2014-03-02,0,0,0,0,0,0
2014-03-03,15,6,0,4,10,5
2014-03-04,16,2,0,7,9,4
2014-03-05,11,5,0,5,2,6
2014-03-06,23,17,1,6,2,5
2014-03-07,27,7,1,9,9,9
2014-03-08,31,9,1,7,6,6
2014-03-09,0,0,0,0,0,0
2014-03-10,19,8,3,9,2,8
2014-03-11,22,11,1,15,0,9
2014-03-12,20,6,1,5,3,8
2014-03-13,24,3,0,7,14,7
2014-03-14,29,10,0,14,6,10
2014-03-15,42,26,1,15,7,19
2014-03-16,0,0,0,0,0,0
2014-03-17,19,13,0,10,5,10
2014-03-18,23,13,2,11,10,16
2014-03-19,18,5,0,8,3,12
2014-03-20,29,9,1,8,4,12
2014-03-21,22,16,3,8,5,13
2014-03-22,18,13,0,14,6,9
2014-03-23,0,0,0,0,0,0
2014-03-24,24,7,0,9,4,7
2014-03-25,16,5,0,8,5,6
2014-03-26,17,12,2,2,3,3
2014-03-27,12,6,0,3,5,6
2014-03-28,15,15,2,13,5,7
2014-03-29,16,15,2,9,5,13
2014-03-30,0,0,0,0,0,0
2014-03-31,13,20,1,11,5,16
2014-04-01,26,12,0,9,6,12
2014-04-02,18,14,1,10,5,9
2014-04-03,24,18,0,14,2,11
2014-04-04,17,6,0,10,10,13
2014-04-05,30,10,0,14,7,18
2014-04-06,0,0,0,0,0,0
2014-04-07,42,16,0,14,3,16
2014-04-08,33,10,0,12,10,14
2014-04-09,31,27,0,14,4,13
2014-04-10,39,18,1,16,13,11
2014-04-11,34,18,0,14,7,13
2014-04-12,40,19,0,20,6,14
2014-04-13,0,0,0,0,0,0
2014-04-14,16,9,1,12,12,19
2014-04-15,25,8,1,14,14,7
2014-04-16,26,10,3,16,8,14
2014-04-17,32,14,0,19,5,13
2014-04-18,20,21,2,21,10,21
2014-04-19,55,27,0,18,8,15
2014-04-20,0,0,0,0,0,0
2014-04-21,0,0,0,0,0,0
2014-04-22,16,13,1,16,8,12
2014-04-23,37,9,0,17,3,12
2014-04-24,49,12,0,17,11,7
2014-04-25,0,0,0,0,0,0
2014-04-26,25,20,0,17,11,17
2014-04-27,0,0,0,0,0,0
2014-04-28,21,12,1,12,6,6
2014-04-29,19,9,0,8,5,14
2014-04-30,36,7,2,21,12,6
2014-05-01,0,0,0,0,0,0
2014-05-02,43,19,0,16,6,12
2014-05-03,21,8,0,13,5,13
2014-05-04,0,0,0,0,0,0
2014-05-05,40,14,1,18,14,9
2014-05-06,40,26,2,19,11,8
2014-05-07,39,12,0,11,9,4
2014-05-08,27,18,0,14,9,16
2014-05-09,24,14,0,10,9,7
2014-05-10,45,20,3,10,5,7
2014-05-11,0,0,0,0,0,0
2014-05-12,38,16,2,16,9,7
2014-05-13,27,14,0,11,8,7
2014-05-14,23,14,1,13,6,9
2014-05-15,31,14,2,11,13,11
2014-05-16,31,17,0,23,8,7
2014-05-17,40,13,2,12,8,14
2014-05-18,0,0,0,0,0,0
2014-05-19,16,11,2,11,5,9
2014-05-20,35,12,1,8,10,4
2014-05-21,26,13,0,16,11,12
2014-05-22,23,21,1,19,10,6
2014-05-23,26,13,2,24,13,10
2014-05-24,27,32,1,35,8,11
2014-05-25,0,0,0,0,0,0
2014-05-26,28,23,1,22,11,6
2014-05-27,31,20,1,27,13,5
2014-05-28,31,15,1,19,5,7
2014-05-29,47,27,7,17,13,12
2014-05-30,29,23,1,23,9,20
2014-05-31,43,35,3,28,5,13
2014-06-01,0,0,0,0,0,0
2014-06-02,0,0,0,0,0,0
2014-06-03,27,18,2,19,11,5
2014-06-04,36,8,4,23,9,9
2014-06-05,33,12,3,19,4,8
2014-06-06,27,13,1,24,9,3
2014-06-07,28,15,1,27,15,6
2014-06-08,0,0,0,0,0,0
2014-06-09,27,10,1,24,9,4
2014-06-10,35,19,3,19,17,2
2014-06-11,21,14,5,21,9,9
2014-06-12,26,15,4,23,9,5
2014-06-13,23,17,0,24,18,2
2014-06-14,20,26,2,23,11,6
2014-06-15,0,0,0,0,0,0
2014-06-16,16,13,1,16,21,5
2014-06-17,31,15,1,21,19,2
2014-06-18,27,15,0,27,12,2
2014-06-19,20,21,0,16,9,5
2014-06-20,7,10,0,8,5,3
2014-06-21,6,6,4,4,2,2
2014-06-22,0,0,0,0,0,0
2014-06-23,7,3,1,13,3,0
2014-06-24,8,4,1,7,6,0
2014-06-25,5,4,0,3,5,0
2014-06-26,3,5,0,0,4,1
2014-06-27,2,6,0,7,4,1
2014-06-28,9,3,1,8,2,0
2014-06-29,0,0,0,0,0,0
2014-06-30,2,7,3,3,3,3
2014-07-01,0,0,0,0,0,0
2014-07-02,0,0,0,0,0,0
2014-07-03,0,0,0,0,0,0
2014-07-04,0,0,0,0,0,0
2014-07-05,0,0,0,0,0,0
2014-07-06,0,0,0,0,0,0
2014-07-07,0,0,0,0,0,0
2014-07-08,0,0,0,0,0,0
2014-07-09,0,0,0,0,0,0
2014-07-10,0,0,0,0,0,0
2014-07-11,0,0,0,0,0,0
2014-07-12,6,0,0,5,2,0
2014-07-13,0,0,0,0,0,0
2014-07-14,4,1,0,0,4,0
2014-07-15,2,0,0,3,3,1
2014-07-16,6,5,0,4,3,1
2014-07-17,3,1,0,3,1,0
2014-07-18,3,0,0,0,7,0
2014-07-19,0,2,0,1,0,0
2014-07-20,0,0,0,0,0,0
2014-07-21,1,3,0,2,1,0
2014-07-22,3,1,0,3,2,1
2014-07-23,1,1,0,4,2,0
2014-07-24,2,7,1,3,5,2
2014-07-25,2,4,0,7,2,1
2014-07-26,5,5,0,4,1,0
2014-07-27,0,0,0,0,0,0
2014-07-28,7,1,0,8,2,1
